ingredients,10+ year old blended rum
10+ year old blended rum,1.0
aalborg taffel akvavit,1.0
abasolo mexican corn whisky,0.0
abbotts bitters,0.0
aberfeldy 12 year old single malt,0.0
abricot  eau-de-vie,0.0
absinthe,0.0
acidic cocktail mixer,0.0
acqua bianca liqueur,0.0
adelaide hills distillery bitter orange aperitif,0.0
advocaat liqueur,0.0
agave sec liqueur,0.0
agave syrup,0.0
agavero liqueur,0.0
aged grappa,0.0
albumin / powdered egg white,0.0
alchermes,0.0
algarrobo extract,0.0
alizé gold passion,0.0
allspice jamaica pepper,0.0
almond milk,0.0
aloe vera juice drink,0.0
amaretto,0.0
amargo chuncho bitters,0.0
amaro braulio,0.0
amaro ciociaro liqueur,0.0
amaro delletna,0.0
amaro lucano,0.0
amaro nonino,0.0
amaro nonino quintessentia,0.0
amarula cream liqueur,0.0
amber rum,0.0
ambre/amber vermouth,0.0
amer picon,0.0
american brandy,0.0
americano bianco,0.0
americano rosso/rosa,0.0
amontillado sherry,0.0
ancho reyes chile liqueur,0.0
angostura,0.0
anise / aniseed syrup,0.0
anisette liqueur,0.0
antica ricetta barolo chinato,0.0
antésite anise,0.0
aperitivo rosato ramazzotti,0.0
aperol,0.0
aphrodite bitters,0.0
apple,0.0
apple & cardamom shrub,0.0
apple butter,0.0
apple cider,0.0
apple cider vinegar,0.0
apple juice,0.0
apple sugar syrup,0.0
applejack brandy,0.0
applejack brandy bottled-in-bond,0.0
appleton estate 151 dark rum,0.0
appleton estate rare blend 12 year old jamaican rum,0.0
appleton estate reserve blend,0.0
appleton estate signature blend,0.0
appleton estate special,0.0
apricot brandy liqueur,0.0
apricot jam,0.0
apricot liqueur,0.0
aquafaba,0.0
aquavit,0.0
archers peach schnapps,0.0
ardbeg 5yo wee bestie,0.0
ardbeg ten,0.0
arette classic blanco,0.0
armagnac brandy,0.0
aromatic tonic water,0.0
artichoke essence,0.0
artisan barrel smoked cola,0.0
asti spumante,0.0
averna amaro,0.0
bacardi carta negra superior,0.0
bacardi spiced,0.0
bacon seasoning,0.0
baileys chocolate luxe liqueur,0.0
balsamic vinegar of modena,0.0
banana,0.0
banana  sugar syrup,0.0
banana juice drink,0.0
banana tea,0.0
banana tea soda,0.0
barbancourt five star reserve speciale 8yo rum,0.0
barenjager honey liqueur,0.0
barley malt syrup,0.0
barolo chinato,0.0
barolo wine,0.0
barrel aged red beer,0.0
barsol acholado pisco,0.0
barsol mosto verde italia pisco,0.0
barsol primero quebranta pisco,0.0
barsol supremo mosto verde italia pisco,0.0
basil haydens small batch kentucky straight bourbon,0.0
basil leaves,0.0
basil sugar syrup,0.0
batavia arrack,0.0
beavertown smog rocket smoked porter,0.0
becherovka cordial,0.0
becherovka liqueur,0.0
beef bouillon,0.0
beetroot juice,0.0
beetroot syrup,0.0
belgium dubbel abbey ale,0.0
belsazar vermouth rose,0.0
bepi tosolini fragola wild strawberry liqueur,0.0
bepi tosolini grappa di moscato,0.0
bepi tosolini i legni rovere grappa,0.0
berentzen apple schnapps liqueur,0.0
bergamot cordial,0.0
bergamot juice,0.0
berry fruit tea,0.0
bianco vermouth,0.0
bigallet china china amer,0.0
bigallet genepi grand tetras,0.0
bigallet thym,0.0
birch sap liqueur,0.0
birch spirit/birch eau-de-vie,0.0
birch water,0.0
bitter almond liqueur,0.0
bitter araucano / bitter brusco,0.0
bitter bianco liqueur,0.0
bittermens burlesque bitters,0.0
bittermens elemakule tiki bitters,0.0
bittermens hellfire habanero shrub,0.0
bittermens winter melon bitters,0.0
bittermens xocolatl mole bitters,0.0
bittersweet orange-red aperitivo,0.0
black cherry jam,0.0
black olives,0.0
black pepper,0.0
black raspberry liqueur,0.0
black sambuca liqueur,0.0
black strap molasses,0.0
black tea,0.0
black truffle honey,0.0
black walnut bitters,0.0
blackberries,0.0
blackberry  sugar syrup,0.0
blackcurrant / cassis sugar syrup,0.0
blackcurrant jam,0.0
blackcurrant juice,0.0
blackcurrants,0.0
blackthorn berry liqueur,0.0
blanche armagnac,0.0
blended & aged 3-5yo med-bodied molasses rum,0.0
blended/vatted scotch malt whisky,0.0
blood orange bitters,0.0
blood orange juice,0.0
blood orange liqueur,0.0
blossoms grenadine syrup,0.0
blossoms passionfruit syrup,0.0
blossoms raspberry syrup,0.0
blue curaçao liqueur,0.0
blueberries,0.0
blueberry syrup,0.0
blueberry tea,0.0
bobs abbotts bitters,0.0
bobs cardamom bitters,0.0
bobs chocolate bitters,0.0
bobs coriander bitters,0.0
bobs lavender bitters,0.0
bobs liquorice bitters,0.0
bobs peppermint bitters,0.0
bobs vanilla bitters,0.0
boddingtons beer,0.0
boiling water,0.0
bokers bitters,0.0
bols banana liqueur,0.0
bols blackberry liqueur,0.0
bols blue curaçao,0.0
bols blueberry liqueur,0.0
bols butterscotch liqueur,0.0
bols crème de cacao brown,0.0
bols crème de cacao white,0.0
bols genever,0.0
bols green tea liqueur,0.0
bols natural yoghurt liqueur,0.0
bols peppermint white,0.0
bols raspberry liqueur,0.0
bols red orange,0.0
bols strawberry liqueur,0.0
bonal gentiane-quina,0.0
bonal/gentiane-quina aperitifs,0.0
boston bittahs bitters,0.0
botran 18 rum,0.0
botran reserva blanca rum,0.0
bottlegreen coxs apple and plum cordial,0.0
bourbon whiskey,0.0
bourgogne aligoté wine white,0.0
branca menta liqueur,0.0
brandy napoleon c. de gourmont special xo reserve,0.0
breakfast tea,0.0
brewed cold black breakfast tea,0.0
briottet crème de pamplemousse rose liqueur,0.0
briottet fraise de bois liqueur,0.0
british bitter ale,0.0
brooklyn lager,0.0
brugal extra viejo reserva rum,0.0
brut champagne,0.0
budweiser budvar,0.0
buffalo trace bourbon,0.0
bulleit bourbon 10 year old frontier whiskey,0.0
burlesque bitters,0.0
bushmills black bush blended irish whisky,0.0
butterscotch liqueur,0.0
by the dutch batavia indonesian arrack,0.0
byrrh grand quinquina,0.0
byrrh grand quinquina aromatized wine,0.0
bán poitín,0.0
bébo coffee liqueur,0.0
bénédictine d.o.m.,0.0063291139240506
bénédictine d.o.m. liqueur,0.0
cachaça,0.0
calamansi juice,0.0
calvados,0.0
calvados & straight applejacks,0.0
calvados boulard vsop pays dauge,0.0
camomile tea,0.0
camomile tea syrup,0.0
campari,0.0
canadian blended whisky,0.0
canadian icewine,0.0
canadian rye whisky,0.0
cane sugar syrup,0.0
caper brine,0.0
caperitif cape aperitif,0.0
capi yuzu soda,0.0
cappelletti aperitivo,0.0
capri sun multivitamin,0.0
captain morgan black label rum,0.0
captain morgan black spiced rum,0.0
captain morgan spiced rum,0.0
caramel sugar syrup,0.0
caraway seeds,0.0
carbonated/sparkling/selzer mineral water,0.0
cardamaro amaro,0.0
cardamom bitters,0.0
cardamom sugar syrup,0.0
cardenal mendoza,0.0
caribbean blended rum aged 3-5 years,0.0
carpano antica formula vermouth,0.0
carpano classico,0.0
carrot juice,0.0
cartron banane liqueur,0.0
cartron no. 7 liqueur,0.0
cava sparkling wine,0.0
cayenne pepper,0.0
celery bitters,0.0
celery saccharum,0.0
celery salt,0.0
celery stick,0.0
centerba 72 toro liqueur,0.0
chai tea,0.0
chambord liqueur,0.0
chamomile liqueur,0.0
charcoal powder,0.0
chartreuse 1605 liqueur delixir liqueur,0.0
chartreuse liqueur du 9 centenaire,0.0
cherries,0.0
cherry bitters,0.0
cherry brandy liqueur,0.0
cherry juice,0.0
cherry syrup,0.0
cherry tomato,0.0
chianti red wine,0.0
chili & pandan sugar syrup,0.0
chili flakes,0.0
chili pepper sugar syrup,0.0
chili tincture,0.0
chilled water,0.0
chinotto,0.0
chocolate  sugar syrup,0.0
chocolate bitters,0.0
chocolate cream liqueur,0.0
chocolate flavoured whiskey,0.0
chocolate ice-cream,0.0
chocolate milk,0.0
chá mate,0.0
château dyquem sauternes,0.0
cinnamon powder,0.0
cinnamon schnapps & goldwasser liqueurs,0.0
cinnamon stick,0.0
cinnamon sugar syrup,0.0
cinnamon whisky,0.0
cinzano 1757 rosso vermouth,0.0
cinzano 1757 vermouth bianco,0.0
cinzano bianco vermouth,0.0
cinzano orancio vermouth,0.0
citric acid solution,0.0
clamato juice,0.0
claret red wine,0.0
clarified lime juice,0.0
clear apple juice,0.0
clear creek eau de vie of douglas fir,0.0
clement sirop de canne,0.0
clement v.s.o.p. rhum vieux agricole,0.0
clementine juice,0.0
clove,0.0
clove & quince syrup,0.0
clément canne bleue 2016 martinique rhum blanc agricole,0.0
clément créole shrubb liqueur,0.0
cocchi americano bianco,0.0
cocchi americano rosa,0.0
cocchi storico vermouth di torino,0.0
cocktail foamer,0.0
cocoa bitters,0.0
cocoa honey,0.0
coconut liqueur,0.0
coconut milk,0.0
coconut oil,0.0
coconut rum liqueur,0.0
coconut sorbet,0.0
coconut syrup,0.0
coconut water,0.0
coffee bitters,0.0
coffee ice-cream,0.0
coffee liqueur,0.0
coffee schnapps liqueur,0.0
coffee syrup,0.0
cognac,0.0
cola,0.0
cola sugar syrup,0.0
cold brew coffee,0.0
combier elixir,0.0
commandaria cypriot wine,0.0
condensed milk,0.0
connemara single malt irish whiskey,0.0
coriander / cilantro leaves,0.0
coriander seeds,0.0
corona extra,0.0
cotswolds whisky amaro liqueur,0.0
cranberries,0.0
cranberry & morello cherry puree,0.0
cranberry juice,0.0
cranberry liqueur,0.0
cream,0.0
cream of coconut,0.0
cream sherry,0.0
cream soda,0.0
crodino,0.0
crown royal fine de luxe blended canadian whisky,0.0
crème brûlée syrup,0.0
crème de banane liqueur,0.0
crème de cassis liqueur,0.0
crème de figue,0.0
crème de fraise liqueur,0.0
crème de framboise liqueur,0.0
crème de mûre,0.0
crème de noyau liqueur,0.0
crème de pêche  liqueur,0.0
crème de violette liqueur,0.0
crème yvette liqueur,0.0
cucumber,0.0
cucumber juice - use juice extractor english cucumber,0.0
cucumber sugar syrup,0.0
cucumber tonic water,0.0
cumin seeds,0.0
curry leaf,0.0
cut spiced rum,0.0
cynar 70 proof,0.0
cynar or other carciofo amaro,0.0
daiquiri bitters,0.0
dale degroffs pimento bitters,0.0
damson jam,0.0
damson plum preserve,0.0
dandelion & burdock,0.0
dandelion & burdock bitters,0.0
dark chocolate liqueur,0.0
dark crème de cacao liqueur,0.0
dark rum,0.0
dashfire old fashioned bitters,0.0
de kuyper blue curaçao,0.0
de kuyper brown crème de cacao,0.0
de kuyper crème de café liqueur,0.0
de kuyper pineapple liqueur,0.0
de kuyper pucker watermelon schnapps,0.0
de kuyper watermelon liqueur,0.0
demerara / dark muscovado / brown sugar,0.0
demerara syrup,0.0
diamond reserve white overproof rum,0.0
diffords daiquiri bitters,0.0
diffords margarita bitters,0.0
diffords saline solution,0.0
dijon mustard,0.0
diplomatico reserva exclusiva rum,0.0
dirty sue premium olive juice,0.0
disaronno velvet cream liqueur,0.0
dolin blanc vermouth de chambery,0.0
dolin chamberyzette,0.0
dolin rouge vermouth de chambery,0.0
don papa rum,0.0
dr. adam elmegirabs aphrodite bitters,0.0
dr. adam elmegirabs spanish bitters,0.0
drambuie 15 liqueur,0.0
drambuie liqueur,0.0
dry cider,0.0
dry vermouth,0.0
dry white port,0.0
dubonnet red,0.0
dubonnet/french rouge aromatised wine,0.0
dunkel / dark / black lager,0.0
dutch cacao white crème de cacao,0.0
eager apple juice,0.0
eager cranberry juice drink,0.0
eager pineapple juice,0.0
eager pink grapefruit juice,0.0
eager sicilian lemon soda,0.0
earl grey sugar syrup,0.0
earl grey tea,0.0
eau-de-vie dabricot,0.0
edmond briottet crème de pêche liqueur,0.0
edmond briottet liqueur de violette,0.0
egg,0.0
egg white,0.0
el dorado 12 year old rum,0.0
el dorado 3 year old white rum,0.0
el jimador reposado,0.0
elderflower cordial,0.0
elderflower liqueur,0.0
elderflower pressé,0.0
elderflower syrup,0.0
elderflower tonic water,0.0
energy drink,0.0
english harbour 5 year old rum,0.0
english sparkling wine,0.0
equiano light rum,0.0
erdinger weisbier,0.0
espelette chili powder,0.0
espresso coffee,0.0
espresso coffee concentrate,0.0
eucalyptus honey,0.0
evaporated milk,0.0
fabbri amarena mixybar cherry syrup,0.0
falernum liqueur,0.0
falernum syrup,0.0
fee brothers aztec chocolate bitters,0.0
fee brothers black walnut bitters,0.0
fee brothers celery bitters,0.0
fee brothers cherry bitters,0.0
fee brothers grapefruit bitters,0.0
fee brothers lemon bitters,0.0
fee brothers old fashion bitters,0.0
fee brothers peach bitters,0.0
fee brothers plum bitters,0.0
fee brothers rhubarb bitters,0.0
fee brothers west indian orange bitters,0.0
fee brothers whiskey barrel aged bitters,0.0
fennel seeds,0.0
fennel syrup,0.0
fentimans rose lemonade,0.0
fernet branca digestive bitter liqueur,0.0
fernet liqueur,0.0
ferro china baliva,0.0
fever-tree handpicked elderflower tonic,0.0
fever-tree mediterranean tonic water,0.0
fever-tree premium indian tonic water,0.0
fever-tree premium lemonade,0.0
fever-tree premium soda water,0.0
fig sugar syrup,0.0
figs,0.0
filter coffee,0.0
fino sherry,0.0
flor de cana extra dry 4 year old rum,0.0
four roses single barrel bourbon,0.0
four roses small batch bourbon,0.0
framboise eau-de-vie,0.0
frangelico hazelnut liqueur,0.0
french press/cafetière coffee,0.0
fresh dill,0.0
fresh or tinned apricot,0.0
fresh red onion,0.0
fresh tarragon,0.0
freshly extracted celery juice,0.0
freshly grated nutmeg,0.0
freshly squeezed lemon or lime juice,0.0
fruit cup liqueur,0.0
fruit juice,0.0
fruit juice or water,0.0
funkin jalapeño syrup,0.0
funkin pro citric syrup,0.0
g. miclo poire williams eau-de-vie,0.0
gabriel boudier crème de cassis de dijon,0.0
galander fine mustard liqueur,0.0
galliano laperitivo bitter liqueur,0.0
galliano lautentico liqueur,0.0
galliano vanilla liqueur,0.0
gentian liqueur,0.0
get 27,0.0
gewurztraminer white wine,0.0
giffard abricot du roussillon liqueur,0.0
giffard apricot liqueur,0.0
giffard banane du brésil liqueur,0.0
giffard black rose liqueur,0.0
giffard caramel toffee liqueur,0.0
giffard caribbean pineapple liqueur,0.0
giffard coconut syrup,0.0
giffard creme de banane liqueur,0.0
giffard creme de cacao white liqueur,0.0
giffard creme de chataigne,0.0
giffard creme de framboise,0.0
giffard creme de framboise liqueur,0.0
giffard crème de myrtille liqueur,0.0
giffard crème de mûre liqueur,0.0
giffard crème de pêche de vigne liqueur,0.0
giffard crème de violette liqueur,0.0
giffard crème fraise des bois liqueur,0.0
giffard créme de cacao brown liqueur,0.0
giffard fraise des bois,0.0
giffard framboise de ronce,0.0
giffard green apple syrup,0.0
giffard grenadine syrup,0.0
giffard lavender syrup,0.0
giffard menthe pastille white crème de menthe,0.0
giffard mirabelle de lorraine,0.0
giffard mirabelle de lorraine  liqueur,0.0
giffard noir de bourgogne cassis,0.0
giffard orange curacao liqueur,0.0
giffard orgeat syrup,0.0
giffard pamplemousse liqueur,0.0
giffard pamplemousse rose  liqueur,0.0
giffard parfait amour liqueur,0.0
giffard peppermint pastille crème de menthe,0.0
giffard piment despelette chile liqueur,0.0
giffard rhubarbe liqueur,0.0
giffard salted caramel syrup,0.0
giffard sirop de fraises,0.0
giffard sirop de orgeat  syrup,0.0
giffard sugar cane syrup,0.0
giffard vanille de madagascar,0.0
gin,0.0
glayva liqueur,0.0
glenmorangie nectar d’or 15 year old highland single malt whisky,0.0
golden syrup,0.0
gomme syrup,0.0
gonzalez byass tio pepe palomino fino sherry,0.0
gooseberry & mint cordial,0.0
gordons special london dry,0.0
goslings black seal overproof 151,0.0
goslings black seal rum,0.0
grand marnier,0.0
grape soda,0.0
grapefruit,0.0
grapefruit bitters,0.0
grapefruit juice,0.0
grapefruit oleo saccharum,0.0
grapefruit peel/zest,0.0
grapefruit preserve,0.0
grapefruit soda,0.0
grapefruit sugar syrup,0.0
grappa di moscato,0.0
greek yogurt,0.0
green apple,0.0
green cardamom pods,0.0
green chartreuse liqueur,0.0
green food colour gel,0.0
green grapes,0.0
green hot pepper sauce,0.0
green melon liqueur,0.0
green mint  syrup,0.0
green olives,0.0
green tea,0.0
green tea liqueur,0.0
grenadine/pomegranate syrup,0.0
groseille  syrup,0.0
ground coffee,0.0
grüner veltliner dry white wine,0.0
guaaja tiquira,0.0
guava juice,0.0
guinness black lager,0.0
génépi liqueur,0.0
h. theoria procrastination liqueur,0.0
hamilton pimento dram ministry of rum collection liqueur,0.0
harveys pedro ximenez v.o.r.s. sherry,0.0
harveys porter 1859,0.0
havana club anejo blanco rum,0.0
havana club especial,0.0
hazelnut liqueur,0.0
hazelnut oil,0.0
heather honey,0.0
helbing hamburgs kümmel,0.0
hesperidina,0.0
hibiscus flower  petals,0.0
hibiscus flower in syrup,0.0
hibiscus flowers,0.0
hibiscus sugar syrup,0.0
hibiscus tea,0.0
high west campfire whiskey,0.0
high west double rye!,0.0
homemade apple cider syrup,0.0
homemade apple syrup,0.0
homemade paste,0.0
honey,0.0
honey and lavender syrup,0.0
honey flavoured whiskey,0.0
honey liqueur,0.0
honey syrup,0.0
honey water,0.0
hopped grapefruit bitters,0.0
horseradish sauce,0.0
hot chocolate powder,0.0
hot pepper sauce,0.0
hot water,0.0
hpnotiq tropical liqueur,0.0
ice cider,0.0
ice cubes,0.0
india pale ale  beer,0.0
irish cream,0.0
irish whiskey,0.0
irn-bru,0.0
is cogas mirto liquore di sardegna,0.0
italian brandy,0.0
italian red bitter liqueur,0.0
italicus liqueur,0.0
italicus or other rosolio di bergamotto / bergamot liqueur,0.0
izarra green  liqueur,0.0
